PLAYER,PTS,STL,AST,TOV,SCORE,NAME_KEY
Michaela Onyenwere,5.8,0.4,1.1,1.3,3.099,MICHAELAONYENWERE
Te-Hina Paopao,5.8,0.5,2.4,1.0,3.2399999999999998,TEHINAPAOPAO
Maya Caldwell,5.4,0.9,1.8,1.0,3.0780000000000003,MAYACALDWELL
Aaliyah Edwards,5.4,0.6,0.6,1.1,2.9340000000000006,AALIYAHEDWARDS
Julie Allemand,5.4,1.3,5.0,1.6,3.218000000000001,JULIEALLEMAND
Lexi Held,5.3,0.7,1.1,0.9,2.962,LEXIHELD
Kathryn Westbeld,5.1,0.8,0.9,0.6,2.918,KATHRYNWESTBELD
Rebecca Allen,5.1,0.5,1.3,0.9,2.818,REBECCAALLEN
Isabelle Harrison,4.9,0.6,0.7,0.7,2.7360000000000007,ISABELLEHARRISON
Natasha Mack,4.7,0.9,0.9,0.4,2.7560000000000002,NATASHAMACK
Damiris Dantas,4.6,0.2,0.7,0.8,2.465,DAMIRISDANTAS
Maria Kliundikova,4.4,0.7,0.6,0.7,2.478,MARIAKLIUNDIKOVA
Kierstan Bell,4.2,0.4,0.7,0.5,2.343000000000001,KIERSTANBELL
Lucy Olsen,4.0,0.4,1.2,0.5,2.2580000000000005,LUCYOLSEN
Diamond Miller,4.0,0.3,0.8,0.9,2.144,DIAMONDMILLER
Alysha Clark,3.9,0.6,1.2,0.5,2.2470000000000003,ALYSHACLARK
Nia Coffey,3.9,0.2,1.0,0.7,2.113,NIACOFFEY
Aaliyah Nye,3.8,0.3,0.5,0.6,2.0729999999999995,AALIYAHNYE
Stefanie Dolson,3.7,0.3,1.4,0.7,2.045,STEFANIEDOLSON
Rebekah Gardner,3.7,0.6,0.6,0.6,2.089,REBEKAHGARDNER
Emily Engstler,3.7,0.7,1.5,1.0,2.084,EMILYENGSTLER
Tiffany Mitchell,3.2,0.4,0.3,0.6,1.7550000000000001,TIFFANYMITCHELL
Sarah Ashlee Barker,3.1,0.3,0.9,1.1,1.6180000000000003,SARAHASHLEEBARKER
Stephanie Talbot,2.9,0.5,1.7,1.1,1.592,STEPHANIETALBOT
Julie Vanloo,2.8,0.4,1.9,1.4,1.471,JULIEVANLOO
Makayla Timpson,2.6,0.4,0.0,0.3,1.4640000000000002,MAKAYLATIMPSON
Lindsay Allen,2.4,0.3,2.0,1.0,1.3060000000000003,LINDSAYALLEN
Haley Peters,2.1,0.3,0.8,0.7,1.1350000000000002,HALEYPETERS
Shatori Walker-Kimbrough,1.7,0.2,0.5,0.4,0.932,SHATORIWALKERKIMBROUGH
Kiah Stokes,1.1,0.4,0.4,0.4,0.6410000000000001,KIAHSTOKES
