PLAYER_NAME,PTS,STL,AST,TOV,SCORE
Dana Evans,291,17,96,37,161.93000000000004
DeWanna Bonner,325,28,38,28,181.77000000000004
Dearica Hamby,811,69,144,117,447.37
DiJonai Carrington,303,34,48,59,165.91
Diamond Miller,160,12,31,34,86.07
Dominique Malonga,323,17,36,48,174.55
Elizabeth Kitley,15,4,1,7,7.920000000000002
Elizabeth Williams,364,31,78,56,200.84
Emily Engstler,146,28,58,38,82.52000000000001
Emma Cannon,93,10,8,16,50.870000000000005
Emma Meesseman,228,21,54,36,126.24
Erica Wheeler,455,56,144,68,257.53000000000003
Ezi Magbegor,353,30,92,43,197.60999999999999
Gabby Williams,510,99,185,84,296.40999999999997
Grace Berger,64,14,58,21,37.4
Hailey Van Lith,102,12,45,36,54.510000000000005
Haley Jones,204,21,64,48,111.38000000000001
Haley Peters,68,11,25,22,37.11000000000001
Iliana Rupert,195,13,33,20,108.16000000000003
Isabelle Harrison,167,20,24,23,93.31000000000002
JJ Quinerly,220,29,78,52,121.92
Jackie Young,727,57,226,98,406.05000000000007
Jacy Sheldon,224,27,56,31,126.36000000000003
Jade Melbourne,255,26,124,72,139.20999999999998
Jaelyn Brown,37,5,1,5,20.600000000000005
Janelle Salaün,407,22,43,53,221.30000000000004
Jaylyn Sherrod,30,11,12,12,17.360000000000003
Jessica Shepard,320,19,104,58,174.94
Jewell Loyd,491,52,81,53,276.0
Jonquel Jones,423,15,85,65,228.50000000000003
Jordin Canada,314,48,159,62,180.05
Joyner Holmes,7,0,0,2,3.4900000000000007
Julie Allemand,183,45,170,53,109.51000000000002
Julie Vanloo,99,15,68,49,52.33
Kahleah Copper,438,30,43,62,238.49
Kaila Charles,223,28,35,38,123.72
Kaitlyn Chen,48,5,24,18,25.460000000000004
Kalani Brown,148,7,16,23,79.60000000000001
Kamiah Smalls,0,0,0,0,0.0
Kamilla Cardoso,543,14,98,97,289.17
Kariata Diaby,25,6,5,12,13.160000000000002
Karlie Samuelson,53,6,17,11,29.340000000000003
Kate Martin,261,17,40,34,143.17000000000002
Kathryn Westbeld,221,36,39,24,127.1
Kayla McBride,554,49,137,67,310.27000000000004
Kayla Thornton,308,29,33,36,170.95000000000002
Kelsey Mitchell,890,39,150,78,491.54
Kelsey Plum,839,53,247,131,461.8800000000001
Kennedy Burke,291,28,45,34,162.34
Kia Nurse,316,14,55,55,169.73000000000002
Kiah Stokes,44,17,17,16,25.910000000000007
Kiana Williams,45,3,10,6,24.830000000000005
Kierstan Bell,146,14,23,17,81.47000000000001
Kiki Iriafen,584,26,69,96,313.09000000000003
Kitija Laksa,196,12,21,19,108.07000000000001
Kyara Linskens,4,1,1,2,2.1100000000000003
Kyra Lambert,0,0,0,0,0.0
Laeticia Amihere,156,17,27,32,85.13
Leonie Fiebich,321,34,64,45,179.13
Lexi Held,170,23,35,28,95.27000000000001
Lexie Brown,51,9,23,6,30.1
Lexie Hull,317,51,79,41,182.14000000000001
Leïla Lacan,259,55,92,47,150.69
Li Yueru,187,9,29,30,100.88000000000001
Liatu King,38,2,4,11,19.560000000000002
Lindsay Allen,74,10,61,31,40.370000000000005
Lucy Olsen,165,15,49,21,92.72000000000001
Luisa Geiselsöder,192,22,44,28,107.60000000000001
Mackenzie Holmes,10,5,2,0,6.699999999999999
Maddy Siegrist,330,19,21,14,184.21000000000004
Maddy Westbeld,107,13,23,16,59.98
Madison Scott,14,2,2,1,8.06
Makayla Timpson,82,13,1,8,46.57
Mamignan Touré,36,7,9,8,20.349999999999998
Maria Kliundikova,148,25,19,23,83.71000000000001
Marina Mabrey,504,24,141,98,271.89000000000004
Marine Johannès,281,25,70,52,154.19
Marième Badiane,0,2,0,2,0.08000000000000002
Marquesha Davis,10,0,1,6,4.47
Maya Caldwell,221,37,74,40,126.18999999999998
Megan Gustafson,60,3,5,6,32.83
Megan McConnell,3,1,3,0,2.02
Mercedes Russell,34,5,12,7,19.140000000000004
Michaela Onyenwere,245,16,48,56,130.59
Monique Akoa Makani,315,32,111,55,175.94
Monique Billings,190,16,14,21,104.94000000000001
Moriah Jefferson,7,0,9,2,3.940000000000001
Murjanatu Musa,40,4,7,7,21.97
Myisha Hines-Allen,302,32,116,87,163.28000000000003
NaLyssa Smith,342,25,33,51,186.07000000000002
Napheesa Collier,755,54,105,70,419.78000000000003
Natasha Cloud,414,49,211,77,235.17000000000002
Natasha Howard,500,52,66,85,274.44
Natasha Mack,159,30,30,15,92.85
Natisha Hiedeman,399,32,123,54,222.92000000000002
Naz Hillmon,380,21,105,50,209.87000000000003
Nia Coffey,170,10,46,30,92.60000000000001
Nneka Ogwumike,803,50,99,85,442.3
Nyara Sabally,92,9,13,16,50.349999999999994
Odyssey Sims,242,17,90,33,135.40000000000003
Olivia Nelson-Ododa,305,27,34,40,168.19
Paige Bueckers,692,57,194,72,389.88000000000005
Rachel Banham,396,26,119,71,216.69
Rae Burrell,211,16,34,25,116.77000000000001
Rayah Marshall,25,2,4,7,13.13
Rebecca Allen,225,23,57,39,124.64
Rebekah Gardner,152,25,25,23,86.21000000000001
Rhyne Howard,577,51,153,55,326.32000000000005
Rickea Jackson,558,23,64,78,301.12
Robyn Parks,2,2,2,1,1.4600000000000002
Sabrina Ionescu,693,48,216,100,384.51000000000005
Sami Whitcomb,390,33,108,67,215.10000000000002
Sania Feagin,20,0,4,7,9.94
Saniya Rivers,371,62,113,62,212.18
Sarah Ashlee Barker,105,11,31,37,55.06
Satou Sabally,636,49,98,77,351.61999999999995
Serena Sundell,0,0,0,2,-0.36
Sevgi Uzun,78,13,63,43,41.17
Shakira Austin,481,41,68,92,260.40999999999997
Shatori Walker-Kimbrough,71,10,22,15,39.650000000000006
Shey Peddy,77,6,31,13,42.879999999999995
Sika Koné,27,0,6,6,14.070000000000002
Skylar Diggins,667,52,258,91,374.81
Sonia Citron,657,55,104,91,362.27000000000004
Sophie Cunningham,257,29,36,34,143.41000000000003
Stefanie Dolson,161,12,59,29,88.92000000000002
Stephanie Talbot,112,19,66,40,61.879999999999995
Sug Sutton,317,33,166,83,174.97000000000003
Sydney Colson,71,15,60,35,39.050000000000004
Taylor Thierry,6,4,2,1,4.1000000000000005
Te-Hina Paopao,250,20,105,44,139.23000000000002
Teaira McCowan,95,5,10,16,50.970000000000006
Temi Fágbénlé,288,35,61,58,158.71
Tiffany Hayes,303,14,77,49,164.76000000000002
Tiffany Mitchell,126,14,12,24,68.66
Tina Charles,700,33,74,82,381.20000000000005
Tyasha Harris,23,2,13,3,13.2
Veronica Burton,525,50,265,94,296.08
Yvonne Anderson,0,2,2,0,0.54
Zia Cooke,90,10,14,22,48.44000000000001
