PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF
1631007,31,Veronica Burton,1611661331,GSV,44,29.4,3.4,8.8,0.387,1.4,4.0,0.345,3.8,4.3,0.878,1.1,3.2,4.4,6.0,1.1,0.6,2.1,11.9,16.0
1628931,32,Gabby Williams,1611661328,SEA,44,31.6,4.5,10.7,0.422,1.1,3.7,0.305,1.5,1.7,0.853,0.5,3.8,4.3,4.2,2.3,0.5,1.9,11.6,14.5
203827,33,Natasha Howard,1611661325,IND,44,24.1,4.5,8.2,0.552,0.1,0.8,0.182,2.1,3.0,0.712,2.0,4.6,6.6,1.5,1.2,0.6,1.9,11.4,14.7
1642767,34,Janelle Salaün,1611661331,GSV,36,27.0,4.1,10.1,0.406,1.8,4.8,0.366,1.4,1.7,0.806,0.9,4.2,5.1,1.2,0.6,0.1,1.5,11.3,10.5
203833,35,Chelsea Gray,1611661319,LVA,44,31.1,3.8,8.8,0.439,1.4,3.9,0.368,2.1,2.4,0.885,0.6,3.4,3.9,5.4,1.4,0.6,2.8,11.2,14.6
204319,36,Jewell Loyd,1611661319,LVA,44,28.3,3.8,9.7,0.389,2.3,6.0,0.382,1.3,1.6,0.831,1.1,2.1,3.2,1.8,1.2,0.3,1.2,11.2,10.3
204365,37,Erica Wheeler,1611661328,SEA,44,25.6,3.8,9.5,0.4,1.7,4.6,0.373,1.0,1.1,0.86,0.4,2.3,2.7,3.3,1.3,0.2,1.5,10.3,10.4
204333,38,Natasha Cloud,1611661313,NYL,41,29.0,3.7,8.5,0.433,1.3,3.8,0.338,1.5,1.7,0.87,0.3,3.3,3.7,5.1,1.2,0.3,1.9,10.1,13.5
201886,39,DeWanna Bonner,1611661317,PHX,33,23.6,3.2,7.8,0.409,1.2,3.6,0.333,2.3,2.6,0.872,0.9,3.3,4.2,1.2,0.8,0.3,0.8,9.8,10.5
203398,40,Brittney Griner,1611661330,ATL,39,20.8,4.0,7.7,0.518,0.1,0.5,0.263,1.7,2.2,0.765,0.9,4.3,5.2,0.8,0.1,1.2,1.5,9.8,11.4
1630096,41,DiJonai Carrington,1611661324,MIN,31,21.9,3.5,8.9,0.386,0.7,2.3,0.319,2.1,2.6,0.805,1.5,2.5,4.0,1.5,1.1,0.4,1.9,9.8,8.9
1629501,42,Alanna Smith,1611661324,MIN,42,26.5,3.8,7.9,0.485,1.3,3.8,0.329,0.7,1.5,0.477,1.5,3.5,5.1,2.9,1.3,1.9,1.5,9.6,14.4
1628244,43,Sami Whitcomb,1611661317,PHX,43,23.9,3.0,7.8,0.385,2.0,5.5,0.361,1.1,1.3,0.852,0.4,2.3,2.6,2.5,0.8,0.2,1.6,9.1,8.6
1629567,44,Natisha Hiedeman,1611661324,MIN,44,18.9,3.4,7.0,0.492,1.0,2.8,0.371,1.2,1.5,0.761,0.3,1.6,1.9,2.8,0.7,0.2,1.2,9.1,9.5
1627671,45,Rachel Banham,1611661329,CHI,44,24.6,2.9,7.7,0.383,2.0,5.5,0.357,1.2,1.3,0.881,0.1,1.5,1.7,2.7,0.6,0.3,1.6,9.0,7.7
203829,46,Bria Hartley,1611661323,CON,38,22.8,2.8,7.7,0.362,1.4,3.9,0.367,1.9,2.4,0.772,0.3,1.7,2.0,3.1,0.8,0.0,1.8,8.9,7.4
1642809,47,Saniya Rivers,1611661323,CON,42,26.1,3.4,8.3,0.407,1.0,3.0,0.341,1.0,1.4,0.746,0.7,2.1,2.8,2.7,1.5,0.9,1.5,8.8,10.0
1630142,48,Leonie Fiebich,1611661313,NYL,37,28.1,2.9,6.0,0.489,1.4,3.2,0.425,1.5,1.7,0.871,0.6,2.9,3.5,1.7,0.9,0.4,1.2,8.7,10.8
1631044,49,Naz Hillmon,1611661330,ATL,44,25.5,3.2,6.8,0.463,1.2,3.8,0.321,1.1,1.3,0.831,1.6,4.6,6.2,2.4,0.5,0.4,1.1,8.6,13.1
204322,50,Elizabeth Williams,1611661329,CHI,43,21.1,3.7,7.6,0.48,0.0,0.0,0.0,1.2,1.9,0.617,1.8,3.3,5.2,1.8,0.7,0.9,1.3,8.5,11.1
1631135,51,Olivia Nelson-Ododa,1611661323,CON,37,21.6,3.1,5.8,0.526,0.0,0.1,0.5,2.1,3.0,0.703,1.6,3.4,5.0,0.9,0.7,1.2,1.1,8.2,11.3
1629568,52,Kennedy Burke,1611661313,NYL,36,21.6,2.8,6.1,0.468,1.3,3.1,0.414,1.1,1.5,0.759,0.6,1.8,2.4,1.3,0.8,0.4,0.9,8.1,8.4
1629496,53,Ezi Magbegor,1611661328,SEA,44,27.3,3.2,6.5,0.493,0.3,1.1,0.292,1.3,1.9,0.687,1.9,4.3,6.2,2.1,0.7,2.2,1.0,8.0,14.3
1629491,54,Jessica Shepard,1611661324,MIN,40,20.9,3.3,5.2,0.638,0.0,0.0,0.0,1.4,2.6,0.544,2.3,5.0,7.3,2.6,0.5,0.1,1.5,8.0,14.0
1642798,55,Dominique Malonga,1611661328,SEA,42,14.3,3.5,6.3,0.551,0.1,0.4,0.222,0.7,1.2,0.569,1.3,3.4,4.6,0.9,0.4,0.7,1.1,7.7,9.8
1642777,56,Monique Akoa Makani,1611661317,PHX,41,21.5,2.8,6.5,0.43,1.2,3.0,0.398,0.9,1.0,0.927,0.6,1.6,2.2,2.7,0.8,0.1,1.3,7.7,8.4
